ID	SEX	MATURES	CHILDS	PHYSS	SELFDET	EXTSCORE	DATEDUR	SERIOUS	ALCFREQ	BP
1	2	3.5	1.8	1	3.73333	-40	4	4	2	2.89655
2	1	5	1.8	1	4.86667	-22	1	3	2	1.86207
3	2	2	1.8	1	2.46667	-12	1	2	3	2
4	1	2	1.6	1	5.4	-1	1	2	3	2.06897
5	1	4	4.6	2.33333	6.46667	-30	5	4	2	2.72414
6	1	4	3	1	4.93333	-38	3	3	3	1.93103
7	1	1	1	1	4.4	-25	1	3	3	2.27586
8	2	3.5	1.4	1	2.26667	-8	3	4	3	2.06897
9	2	2	1.4	1	-1.6	3	1	1	3	3.44828
10	1	2	1.8	1	1	.	1	2	1	1.89655
11	1	2	1	1	4.26667	-22	4	5	1	1.10345
12	2	3.5	2.4	1	2.2	-5	3	2	4	3.55172
13	1	4.5	3	2.83333	2.6	-11	3	5	2	3.68966
14	2	4.5	2.8	2.16667	3	-12	3	3	3	2.7931
15	2	4	1.6	1.66667	2.86667	-7	1	3	3	4.03448
16	2	2.5	1.4	1.16667	5.66667	-16	1	3	3	2.72414
17	1	4	2.2	1.16667	3.86667	-31	5	4	2	2.06897
18	1	3.5	2.8	1	2.33333	-29	2	3	3	1.89655
19	1	3	4	1.83333	2.86667	-20	4	3	3	2.55172
20	1	4	1.2	1	6.93333	-31	4	4	2	1.44828
21	2	3.5	1.6	1	2.2	-9	2	3	3	2.93103
22	1	2.5	2.2	1	2.73333	-32	4	3	3	2.28571
23	1	4	2.6	1	4.53333	13	4	2	2	2.31034
24	1	4	1.2	1	-0.6	-14	5	4	2	1.75862
25	1	3.5	2.6	1	3.66667	-12	3	4	2	3.10345
26	1	3	1.8	1	6.53333	-42	4	3	1	2.72414
28	2	3.5	1.6	1.16667	6.66667	0	3	5	4	3.58621
29	1	2	2.4	1.33333	1.26667	-32	4	3	4	2.62069
30	1	2.5	1.8	1	3.66667	-7	3	4	2	2.13793
31	1	5	2.2	1.16667	5.2	-7	3	3	2	2.48276
32	2	2.5	1.6	1	4.8	-30	3	4	1	1.7931
33	1	2.5	1.2	1	4.6	-24	4	4	2	1.86207
34	1	3	1.2	1	3.66667	-36	3	3	3	2.34483
35	1	4	1.2	1	3.53333	-33	5	4	2	2.48276
36	1	2	1.8	1	5.8	-37	2	3	3	1.72414
37	1	4	1.6	1	3.33333	-16	2	3	2	1.48276
