"","PHYSS","DATEDUR","SERIOUS","SELFDET","EXTSCORE","BP"
"1",1,4,4,3.73333,-40,2.89655
"2",1,1,3,4.86667,-22,1.86207
"3",1,1,2,2.46667,-12,2
"4",1,1,2,5.4,-1,2.06897
"5",2.33333,5,4,6.46667,-30,2.72414
"6",1,3,3,4.93333,-38,1.93103
"7",1,1,3,4.4,-25,2.27586
"8",1,3,4,2.26667,-8,2.06897
"9",1,1,1,-1.6,3,3.44828
"11",1,4,5,4.26667,-22,1.10345
"12",1,3,2,2.2,-5,3.55172
"13",2.83333,3,5,2.6,-11,3.68966
"14",2.16667,3,3,3,-12,2.7931
"15",1.66667,1,3,2.86667,-7,4.03448
"16",1.16667,1,3,5.66667,-16,2.72414
"17",1.16667,5,4,3.86667,-31,2.06897
"18",1,2,3,2.33333,-29,1.89655
"19",1.83333,4,3,2.86667,-20,2.55172
"20",1,4,4,6.93333,-31,1.44828
"21",1,2,3,2.2,-9,2.93103
"22",1,4,3,2.73333,-32,2.28571
"23",1,4,2,4.53333,13,2.31034
"24",1,5,4,-0.6,-14,1.75862
"25",1,3,4,3.66667,-12,3.10345
"26",1,4,3,6.53333,-42,2.72414
"27",1.16667,3,5,6.66667,0,3.58621
"28",1.33333,4,3,1.26667,-32,2.62069
"29",1,3,4,3.66667,-7,2.13793
"30",1.16667,3,3,5.2,-7,2.48276
"31",1,3,4,4.8,-30,1.7931
"32",1,4,4,4.6,-24,1.86207
"33",1,3,3,3.66667,-36,2.34483
"34",1,5,4,3.53333,-33,2.48276
"35",1,2,3,5.8,-37,1.72414
"36",1,2,3,3.33333,-16,1.48276
"37",1,2,3,3.86667,-33,1.68966
"38",1,2,4,2.86667,-6,1.72414
"39",1.33333,5,4,5.66667,-19,2.27586
"40",1,3,4,4.4,-13,2.89655
"41",1,4,4,3.26667,-34,1.96552
"42",1,1,3,2.2,-19,2.62069
"43",1.16667,4,4,2.13333,-14,3.06897
"44",1,5,4,4.2,-37,2.55172
"45",1,4,4,6,-16,2.27586
"46",1.16667,5,4,4.73333,-21,3.03448
"48",1,1,2,0.6,-31,2.37931
"49",1,2,3,3.2,-16,2.10345
"50",1.16667,5,3,0.6,-29,1.51724
