"","CSID","hrelsat1","hrelsat2","hrelsat3","hrelsat5","hrelsat6","hrelsat7","wrelsat1","wrelsat2","wrelsat3","wrelsat5","wrelsat6","wrelsat7","hexposure","wexposure","time1","time2","time3","time5","time6","time7","hsupp3","wsupp3","hps3","wps3","H5_BEF1","H5_Bef2r","H5_DUR1","H5_DUR4","H5_DUR5","H5_DUR6","H5_DUR8","H5_DUR11","H5_DUR12r","H5_DUR14","H5_DUR15_a","H5_DUR15_b","H5_DUR15_c","H5_DUR15_d","H5_DUR15_e","H5_DUR15_f","H5_DUR16r","H5_DUR17r","W5_BEF1","W5_Bef2r","W5_DUR1","W5_DUR4","W5_DUR5","W5_DUR6","W5_DUR8","W5_DUR11","W5_DUR12r","W5_DUR14","W5_DUR15_a","W5_DUR15_b","W5_DUR15_c","W5_DUR15_d","W5_DUR15_e","W5_DUR15_f","W5_DUR16r","W5_DUR17r","c_nmis_post","missing"
"1",10056,49,49,45,49,47,49,45,45,49,42,26,40,1,2,-2.34633812457221,-1.55783709787817,-0.848733744010951,0.383299110198494,0.919917864476386,1.43463381245722,0.666666666666667,1.33333333333333,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"2",10060,46,34,36,NA,NA,NA,45,14,45,NA,NA,NA,4,NA,-2.3709787816564,-1.6208076659822,-0.851471594798084,0.394250513347023,NA,NA,1.75,1,0.6,0.333333333333333,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1
"3",10073,47,49,48,46,50,47,43,51,51,51,51,51,5,5,-2.34907597535934,-1.60164271047228,-0.739219712525667,0.342231348391513,0.930869267624914,1.45653661875428,2,1.75,0.888888888888889,0.4,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"4",10080,50,50,47,46,43,45,51,48,49,45,47,49,7,5,-2.43668720054757,-1.63449691991786,-0.733744010951403,0.364134154688569,0.917180013689254,1.3990417522245,2,1.75,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"5",10081,16,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,-2.38193018480493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1
"6",10089,44,45,45,49,46,41,29,31,33,40,2,15,3,6,-2.16016427104723,-1.40999315537303,-0.698151950718686,0.342231348391513,0.930869267624914,1.3990417522245,0,0.5,0.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,NA,0,0,1,1,0,0,0,1,1,0,0
"7",10098,47,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,-2.13826146475017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1
"8",10102,45,26,41,42,46,44,49,46,50,48,50,47,5,4,-2.40930869267625,-1.67830253251198,-0.950034223134839,0.487337440109514,0.993839835728953,1.40999315537303,0.666666666666667,1,0.555555555555556,0.222222222222222,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"9",10108,49,48,46,46,43,47,28,22,26,27,27,34,2,4,-2.44216290212183,-1.6208076659822,-0.845995893223819,0.380561259411362,0.933607118412047,1.3990417522245,0.5,1,0.444444444444444,0.7,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
"10",10125,42,33,31,50,41,49,49,48,50,50,49,49,6,6,-2.32991101984942,-1.52772073921971,-0.796714579055442,0.629705681040383,1.02395619438741,1.66187542778919,1,0.5,0,0.2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"11",10126,40,NA,NA,NA,NA,NA,36.6666666666667,NA,NA,NA,NA,NA,NA,NA,-2.19849418206708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1
"12",10144,50,39,30,51,48,51,48,47,38,51,51,50,5,10,-2.42573579739904,-1.5523613963039,-0.851471594798084,0.629705681040383,1.01026694045175,1.3990417522245,0.5,1.25,1.16666666666667,0.666666666666667,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0
"13",10162,49,50,36,NA,33,18,43,40,37,22,18,19,2,0,-2.38466803559206,-1.38261464750171,-0.835044490075291,0.416153319644079,0.939082819986311,1.66187542778919,1,1.5,0.111111111111111,1.22222222222222,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"14",10166,46,45,NA,NA,NA,NA,48,49,NA,NA,NA,NA,3,7,-2.35455167693361,-1.57973990417522,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,6,1
