"","CSID","timepoint","time","Wife","relsat","ps","supp","hurr_expo","relsat_int","Husb","wtime","htime","wrelsat","hrelsat","Inid","WifeXwint","HusbXhint","wpreH","wpostH","wjump","hpreH","hpostH","hjump","HusbXhpreH","HusbXhpostH","HusbXhjump","WifeXwpreH","WifeXwpostH","WifeXwjump","Hhurr_expo","Whurr_expo","Wifeps","Husbps","Wifesupp","Husbsupp"
"1",10056,1,-2.34633812457221,0,49,1,0.666666666666667,1,49,1,0,-2.34633812457221,0,49,100560,0,49,-2.34633803367615,0,0,-2.34633803367615,0,0,-2.34633803367615,0,0,0,0,0,1,0,0,1,0,1
"2",10056,1,-2.34633812457221,1,45,1,1.33333333333333,2,45,0,-2.34633812457221,0,45,0,100561,45,0,-2.34633803367615,0,0,-2.34633803367615,0,0,0,0,0,-2.34633803367615,0,0,0,2,1,0,1,0
"3",10056,2,-1.55783709787817,0,49,1,0.666666666666667,1,49,1,0,-1.55783709787817,0,49,100560,0,49,-1.55783712863922,0,0,-1.55783712863922,0,0,-1.55783712863922,0,0,0,0,0,1,0,0,1,0,1
"4",10056,2,-1.55783709787817,1,45,1,1.33333333333333,2,45,0,-1.55783709787817,0,45,0,100561,45,0,-1.55783712863922,0,0,-1.55783712863922,0,0,0,0,0,-1.55783712863922,0,0,0,2,1,0,1,0
"5",10056,3,-0.848733744010951,0,45,1,0.666666666666667,1,49,1,0,-0.848733744010951,0,45,100560,0,49,-0.848733723163605,0,0,-0.848733723163605,0,0,-0.848733723163605,0,0,0,0,0,1,0,0,1,0,1
"6",10056,3,-0.848733744010951,1,49,1,1.33333333333333,2,45,0,-0.848733744010951,0,49,0,100561,45,0,-0.848733723163605,0,0,-0.848733723163605,0,0,0,0,0,-0.848733723163605,0,0,0,2,1,0,1,0
"7",10056,4,0.383299110198494,0,49,1,0.666666666666667,1,49,1,0,0.383299110198494,0,49,100560,0,49,0,0.383299112319946,1,0,0.383299112319946,1,0,0.383299112319946,1,0,0,0,1,0,0,1,0,1
"8",10056,4,0.383299110198494,1,42,1,1.33333333333333,2,45,0,0.383299110198494,0,42,0,100561,45,0,0,0.383299112319946,1,0,0.383299112319946,1,0,0,0,0,0.383299112319946,1,0,2,1,0,1,0
"9",10056,5,0.919917864476386,0,47,1,0.666666666666667,1,49,1,0,0.919917864476386,0,47,100560,0,49,0,0.9199178814888,1,0,0.9199178814888,1,0,0.9199178814888,1,0,0,0,1,0,0,1,0,1
"10",10056,5,0.919917864476386,1,26,1,1.33333333333333,2,45,0,0.919917864476386,0,26,0,100561,45,0,0,0.9199178814888,1,0,0.9199178814888,1,0,0,0,0,0.9199178814888,1,0,2,1,0,1,0
"11",10056,6,1.43463381245722,0,49,1,0.666666666666667,1,49,1,0,1.43463381245722,0,49,100560,0,49,0,1.43463385105133,1,0,1.43463385105133,1,0,1.43463385105133,1,0,0,0,1,0,0,1,0,1
"12",10056,6,1.43463381245722,1,40,1,1.33333333333333,2,45,0,1.43463381245722,0,40,0,100561,45,0,0,1.43463385105133,1,0,1.43463385105133,1,0,0,0,0,1.43463385105133,1,0,2,1,0,1,0
"13",10060,1,-2.3709787816564,0,46,0.6,1.75,4,46,1,0,-2.3709787816564,0,46,100600,0,46,-2.37097883224487,0,0,-2.37097883224487,0,0,-2.37097883224487,0,0,0,0,0,4,0,0,0.600000023841858,0,0.600000023841858
"14",10060,1,-2.3709787816564,1,45,0.333333333333333,1,NA,45,0,-2.3709787816564,0,45,0,100601,45,0,-2.37097883224487,0,0,-2.37097883224487,0,0,0,0,0,-2.37097883224487,0,0,NA,NA,0.333333343267441,0,0.333333343267441,0
"15",10060,2,-1.6208076659822,0,34,0.6,1.75,4,46,1,0,-1.6208076659822,0,34,100600,0,46,-1.62080764770508,0,0,-1.62080764770508,0,0,-1.62080764770508,0,0,0,0,0,4,0,0,0.600000023841858,0,0.600000023841858
